failCount_month,lifeTime_month,activeLife_month
3,298022317,200880000
0,284132455,270864000
5,117369241,71020800
4,298297272,222020119
2,303030883,297636260
2,140520608,76118400
4,291463913,290936368
2,289731767,285641257
4,287309629,247017600
2,324875094,314464916
2,287476226,286502400
2,279958376,213944744
2,284720270,280394409
2,287749126,277837211
2,295597266,288968606
0,295008156,282527449
2,294153895,257971324
2,294499130,207362177
2,287137860,286675200
5,295690135,286675200
2,288944882,247104000
0,284288764,265939200
5,282912732,274924800
2,282901237,189043200
3,282660301,281750400
2,286544320,277606356
2,314790142,313545600
2,314711900,298271450
3,314011167,236736000
2,320580438,260496000
2,320497410,312854400
2,317279101,304531305
3,315639539,191894400
1,321015671,320976000
3,311680469,294624000
2,309154347,231292800
3,308321280,309397531
1,309083279,305337600
2,308382358,284688000
3,309764184,308620800
2,308033905,285221792
2,307346100,302745600
3,307773231,297388800
2,306145043,305424000
3,305270083,187056000
2,305451087,208051200
5,305878901,302239749
2,304410999,255744000
2,304059649,281491200
3,303805191,240210444
2,303722332,197251200
2,303641824,293948259
3,321024012,310608000
2,302602675,290645610
2,301560830,128995200
5,303627572,295030773
2,303466909,260284036
2,301634573,300598392
2,303550407,286416000
2,302588042,279849600
2,301917974,301971535
0,302586107,234316800
3,302583972,302659200
2,302354740,300153600
3,301999462,282683075
1,301994392,275788800
1,301899188,242352314
1,301390450,294278400
5,301407573,283651200
3,301658772,271628700
5,301639087,239414400
2,301377073,292464000
0,301232961,239500800
5,301211385,297388800
2,301204691,286934400
2,300597914,242716753
2,299757565,301452687
8,299499442,244339200
3,299582438,294862511
1,316942128,315878400
3,323692613,320976000
4,322303465,313200000
3,323769151,320976000
0,322375873,123811200
3,322209729,223516800
3,321956858,239673720
2,321019248,320889600
0,319887004,249955200
1,319446932,131155200
2,284119732,282601012
3,284114337,197164800
2,282047374,260732317
2,280480318,233884800
2,279444548,268929959
0,280240931,263347200
2,279454799,136252800
2,279460161,263335394
5,279018955,270518400
8,279288885,86659200
2,278425254,184799227
2,277461332,275882671
2,295676629,294794538
5,208708847,206064000
3,208350873,198201600
5,208607245,187488000
3,208162842,197942400
3,208599952,208569600
3,208597545,208483200
3,208520916,205891200
3,208512568,203644800
3,208506850,205977600
6,208503912,147765759
4,208428339,81734400
3,208421877,142300800
3,208416249,137894400
4,208336445,169344000
4,208325924,208569600
4,208253899,205977600
3,208243235,208656000
3,208240750,206236800
3,208159633,208569600
4,208156601,106358400
3,208066862,195523200
3,208082291,201432399
3,208078085,206064000
3,208071725,208828800
5,207981476,115691415
6,207995853,208656000
4,207991525,209439234
3,207984079,209001600
5,207835295,82739422
4,207568615,179737207
4,207548814,208483200
5,207484183,205977600
4,207548558,208569600
4,207473101,207040557
4,207394973,205977600
5,207464837,208569600
4,207551344,205977600
5,207564363,203472000
5,207574569,198288000
4,207317518,126316800
5,207385368,208067001
3,207380577,205891200
